title	author	year	journal	doi
A sharp interface Lagrangian-Eulerian method for flexible-body fluid-structure interaction	Kolahdouz, Ebrahim M. and Wells, David R. and Rossi, Simone and Aycock, Kenneth I. and Craven, Brent A. and Griffith, Boyce E.	2023	Journal of Computational Physics	10.1016/j.jcp.2023.112174
An immersed interface-lattice Boltzmann method for fluid-structure interaction	Jianhua Qin and Ebrahim M. Kolahdouz and Boyce E. Griffith	2021	Journal of Computational Physics	10.1016/j.jcp.2020.109807
An immersed interface method for discrete surfaces	Ebrahim M. Kolahdouz and Amneet Pal Singh Bhalla and Brent A. Craven and Boyce E. Griffith	2020	Journal of Computational Physics	10.1016/j.jcp.2019.07.052
Fluidâ€“Structure Interaction Models of Bioprosthetic Heart Valve Dynamics in an Experimental Pulse Duplicator	Lee, Jae H. and Rygg, Alex D. and Kolahdouz, Ebrahim M. and Rossi, Simone and Retta, Stephen M. and Duraiswamy, Nandini and Scotten, Lawrence N. and Craven, Brent A. and Griffith, Boyce E.	2020	Annals of Biomedical Engineering	10.1007/s10439-020-02466-4
Image-based immersed boundary model of the aortic root	Ali Hasan and Ebrahim M. Kolahdouz and Andinet Enquobahrie and Thomas G. Caranasos and John P. Vavalle and Boyce E. Griffith	2017	Medical Engineering & Physics	https://doi.org/10.1016/j.medengphy.2017.05.007
Level set jet schemes for stiff advection equations: The semijet method	Velmurugan, Guhan and Kolahdouz, Ebrahim M and Salac, David	2016	Computer Methods in Applied Mechanics and Engineering	
Level set jet schemes for stiff advection equations: The semijet method	Velmurugan, Guhan and Kolahdouz, Ebrahim M. and Salac, David	2016	Computer Methods in Applied Mechanics and Engineering	10.1016/j.cma.2016.07.014
A numerical model for the trans-membrane voltage of vesicles	Ebrahim M. Kolahdouz and David Salac	2015	Applied Mathematics Letters	10.1016/j.aml.2014.08.001
A numerical model for the trans-membrane voltage of vesicles	Kolahdouz, Ebrahim M and Salac, David	2015	Applied Mathematics Letters	
Dynamics of three-dimensional vesicles in dc electric fields	Kolahdouz, Ebrahim M and Salac, David	2015	Physical Review E	
Dynamics of three-dimensional vesicles in dc electric fields	Kolahdouz, Ebrahim M. and Salac, David	2015	Physical Review E	10.1103/physreve.92.012302
Electrohydrodynamics of Three-Dimensional Vesicles: A Numerical Approach	Kolahdouz, EM and Salac, David	2015	SIAM Journal on Scientific Computing	
Electrohydrodynamics of Three-Dimensional Vesicles: A Numerical Approach	Kolahdouz, Ebrahim M. and Salac, David	2015	SIAM Journal on Scientific Computing	10.1137/140988966
Electrohydrodynamics of Three-Dimensional Vesicles: A Numerical Approach	Kolahdouz, Ebrahim M and Salac, David	2014	arXiv preprint arXiv:1409.6381	
Performance of piezoelectrically actuated micropump with different driving voltage shapes and frequencies	Kolandouz, EM and Mohammadzadeh, K and Shirani, E and Ziaei-Rad, S	2014	SCIENTIA IRANICA	
Numerical study on the performance of Tesla type microvalve in a valveless micropump in the range of low frequencies	K. Mohammadzadeh and Ebrahim M. Kolahdouz and E. Shirani and M. B. Shafii	2013	Journal of Micro-Bio Robotics	10.1007/s12213-013-0069-1
Numerical Investigation on the Effect of the Size and Number of Stages on the Tesla Microvalve Efficiency	Mohammadzadeh, K. and Kolahdouz, E. M. and Shirani, E. and Shafii, M. B.	2013	Journal of Mechanics	10.1017/jmech.2013.29
Numerical investigation on the effect of the size and number of stages on the Tesla microvalve efficiency	Mohammadzadeh, K and Kolahdouz, EM and Shirani, E and Shafii, MB	2013	Journal of Mechanics	
Numerical study on the performance of Tesla type microvalve in a valveless micropump in the range of low frequencies	Mohammadzadeh, K and Kolahdouz, Ebrahim M and Shirani, E and Shafii, MB	2013	Journal of Micro-Bio Robotics	
A New Control Strategy to Improve the Ground Source Heat Pump's Efficiency With a Recycled Product	Amir Rezaei-Bazkiaei and Ehsan Dehghan-Niri and Ebrahim M. Kolahdouz and Gary F. Dargush and A. Scott Weber	2012		10.1115/imece2012-93086
A Semi-implicit Gradient Augmented Level Set Method	Kolahdouz, Ebrahim M. and Salac, David	2013	SIAM Journal on Scientific Computing	10.1137/120871237
A passive design strategy for a horizontal ground source heat pump pipe operation optimization with a non-homogeneous soil profile	Rezaei-Bazkiaei, Amir and Dehghan-Niri, Ehsan and Kolahdouz, Ebrahim M. and Weber, A. Scott and Dargush, Gary F.	2013	Energy and Buildings	10.1016/j.enbuild.2013.01.040
Ground source heat pump pipe performance with Tire Derived Aggregate	Rezaei B., Amir and Kolahdouz, Ebrahim M. and Dargush, Gary F. and Weber, A. Scott	2012	International Journal of Heat and Mass Transfer	10.1016/j.ijheatmasstransfer.2012.02.004
